"Date","Year","Quarter","Month_Number","Month_Name","Product_Category","Units_Sold","Revenue","COGS","Gross_Profit","Gross_Margin"
"2025-01-01",2025,1,1,January,Action Figures,127,2617.729999999999,1475.0899999999995,1142.6399999999999,0.4365003266188645
"2025-01-01",2025,1,1,January,Arts & Crafts,152,1721.4200000000005,1008.2600000000001,713.1599999999999,0.41428588026164426
"2025-01-01",2025,1,1,January,Baby & Toddler,151,2291.629999999999,1332.75,958.8799999999997,0.4184270584692991
"2025-01-01",2025,1,1,January,Board Games,103,1429.2299999999998,791.0500000000003,638.18,0.4465201542089097
"2025-01-01",2025,1,1,January,Building Blocks,73,939.2300000000001,550.1899999999998,389.04,0.4142116414509758
"2025-01-01",2025,1,1,January,Card Games,91,1689.2900000000002,842.1900000000002,847.1,0.5014532732686513
"2025-01-01",2025,1,1,January,Collectibles,4,77.56,38.08,39.480000000000004,0.5090252707581228
"2025-01-01",2025,1,1,January,Dolls,99,1807.2999999999995,975.3100000000003,831.9899999999999,0.46034969291207883
"2025-01-01",2025,1,1,January,Educational,61,1069.76,628.2799999999999,441.48,0.4126906969787616
"2025-01-01",2025,1,1,January,Model Kits,52,974.0600000000001,551.1700000000001,422.88999999999993,0.43415190029361633
"2025-01-01",2025,1,1,January,Outdoor Play,125,2330.3499999999995,1297.86,1032.4900000000005,0.4430622009569381
"2025-01-01",2025,1,1,January,Plush,101,1430.77,840.2900000000001,590.4799999999999,0.4127008533866379
"2025-01-01",2025,1,1,January,Pretend Play,41,923.5899999999999,558.13,365.46,0.3956950594960968
"2025-01-01",2025,1,1,January,Puzzles,116,1888.8199999999993,1017.46,871.3599999999999,0.46132506009042695
"2025-01-01",2025,1,1,January,STEM Kits,97,2098.26,1187.58,910.6799999999997,0.43401675674129975
"2025-01-01",2025,1,1,January,Toy Vehicles,110,1811.44,1052.28,759.16,0.41909199311045353
"2025-01-02",2025,1,1,January,Action Figures,164,3330.429999999999,1834.3899999999996,1496.0399999999997,0.4492032560360074
"2025-01-02",2025,1,1,January,Arts & Crafts,135,1626.6499999999994,962.6900000000003,663.9599999999998,0.4081763132818984
"2025-01-02",2025,1,1,January,Baby & Toddler,184,2871.049999999999,1624.9999999999993,1246.0499999999995,0.43400498075616933
"2025-01-02",2025,1,1,January,Board Games,82,1485.6299999999999,797.3600000000002,688.2699999999999,0.4632849363569663
"2025-01-02",2025,1,1,January,Building Blocks,95,1173.9699999999998,684.9199999999998,489.05,0.4165779364038264
"2025-01-02",2025,1,1,January,Card Games,51,1222.1399999999999,647.3999999999999,574.7400000000001,0.47027345475968396
"2025-01-02",2025,1,1,January,Collectibles,2,38.78,19.04,19.740000000000002,0.5090252707581228
