"Date","Year","Quarter","Month_Number","Month_Name","Day_of_Month","Day_of_Week","Day_of_Week_Name","Units_Sold","Revenue","COGS","Gross_Profit","Gross_Margin"
"2025-01-01",2025,1,1,January,1,4,Wednesday,1503,25100.440000000028,14145.970000000008,10954.470000000012,0.4364254172436818
"2025-01-02",2025,1,1,January,2,5,Thursday,1631,27566.440000000046,15616.990000000003,11949.450000000004,0.4334781712836327
"2025-01-03",2025,1,1,January,3,6,Friday,1559,27401.570000000043,15423.729999999987,11977.84,0.4371223984611094
"2025-01-04",2025,1,1,January,4,7,Saturday,1570,27282.15000000004,15423.680000000002,11858.470000000005,0.43466039150140245
"2025-01-05",2025,1,1,January,5,1,Sunday,1599,29584.390000000025,16797.940000000006,12786.450000000008,0.4322025906229602
"2025-01-06",2025,1,1,January,6,2,Monday,1459,26822.69000000004,15164.340000000007,11658.349999999999,0.43464507102009464
"2025-01-07",2025,1,1,January,7,3,Tuesday,1543,27314.39000000004,15280.159999999982,12034.230000000001,0.4405820521710345
"2025-01-08",2025,1,1,January,8,4,Wednesday,1468,25032.740000000038,14286.890000000007,10745.850000000015,0.4292718256171717
"2025-01-09",2025,1,1,January,9,5,Thursday,1516,25649.590000000022,14515.260000000015,11134.330000000007,0.4340938783037077
"2025-01-10",2025,1,1,January,10,6,Friday,1505,25719.38000000005,14397.279999999997,11322.100000000019,0.440216677073864
"2025-01-11",2025,1,1,January,11,7,Saturday,1607,28021.750000000044,15918.289999999997,12103.460000000003,0.4319309108103521
"2025-01-12",2025,1,1,January,12,1,Sunday,1498,25542.900000000052,14342.560000000005,11200.340000000013,0.43849132244185235
"2025-01-13",2025,1,1,January,13,2,Monday,1584,26768.15000000001,14950.509999999987,11817.639999999992,0.4414813873950941
"2025-01-14",2025,1,1,January,14,3,Tuesday,1524,26872.210000000014,15259.17000000001,11613.040000000005,0.432157980307537
"2025-01-15",2025,1,1,January,15,4,Wednesday,1473,24337.460000000032,13813.860000000006,10523.60000000001,0.43240338145393953
"2025-01-16",2025,1,1,January,16,5,Thursday,1655,28901.640000000032,16149.320000000005,12752.320000000007,0.44123170865044314
"2025-01-17",2025,1,1,January,17,6,Friday,1583,27479.77000000001,15409.14,12070.63000000001,0.4392551320480486
"2025-01-18",2025,1,1,January,18,7,Saturday,1544,25871.5,14819.400000000009,11052.1,0.42719208395338504
"2025-01-19",2025,1,1,January,19,1,Sunday,1470,26218.990000000005,14852.990000000009,11366.000000000005,0.4335025872468773
"2025-01-20",2025,1,1,January,20,2,Monday,1546,26223.45000000001,14655.039999999994,11568.410000000005,0.4411475225418471
"2025-01-21",2025,1,1,January,21,3,Tuesday,1597,27524.650000000012,15527.060000000001,11997.590000000015,0.4358852882779621
"2025-01-22",2025,1,1,January,22,4,Wednesday,1436,25343.80000000001,14230.049999999992,11113.75000000001,0.4385194801095339
"2025-01-23",2025,1,1,January,23,5,Thursday,1498,26809.19999999998,15003.829999999984,11805.370000000006,0.4403477164555457
"2025-01-24",2025,1,1,January,24,6,Friday,1788,31402.01000000003,17802.250000000007,13599.760000000022,0.4330856527973849
"2025-01-25",2025,1,1,January,25,7,Saturday,1627,27662.56000000002,15633.120000000008,12029.440000000008,0.4348635845706254
"2025-01-26",2025,1,1,January,26,1,Sunday,1470,25669.290000000026,14456.540000000005,11212.75000000001,0.4368157436376307
"2025-01-27",2025,1,1,January,27,2,Monday,1465,25479.85000000002,14360.019999999997,11119.829999999994,0.4364166194070996
"2025-01-28",2025,1,1,January,28,3,Tuesday,1443,25105.93,14184.200000000004,10921.729999999998,0.43502590822168297
"2025-01-29",2025,1,1,January,29,4,Wednesday,1584,26885.88000000005,15397.769999999997,11488.109999999995,0.42729157461091005
"2025-01-30",2025,1,1,January,30,5,Thursday,1764,30608.989999999998,17320.34999999999,13288.640000000001,0.4341417341767893
"2025-01-31",2025,1,1,January,31,6,Friday,1590,28876.170000000006,16415.229999999985,12460.940000000008,0.43153022024735294
"2025-02-01",2025,1,2,February,1,7,Saturday,1561,27599.94000000005,15460.759999999987,12139.180000000011,0.4398263184630108
"2025-02-02",2025,1,2,February,2,1,Sunday,1596,28026.370000000086,15888.629999999988,12137.739999999998,0.4330828430510252
"2025-02-03",2025,1,2,February,3,2,Monday,1533,25784.480000000047,14706.809999999992,11077.669999999996,0.4296254956469929
"2025-02-04",2025,1,2,February,4,3,Tuesday,1621,28826.870000000046,16247.470000000007,12579.400000000001,0.4363775879934235
"2025-02-05",2025,1,2,February,5,4,Wednesday,1637,27992.48000000003,15619.930000000002,12372.550000000012,0.4419954930752831
"2025-02-06",2025,1,2,February,6,5,Thursday,1479,26425.410000000018,14921.169999999986,11504.240000000005,0.4353476445587787
"2025-02-07",2025,1,2,February,7,6,Friday,1480,25718.070000000018,14430.42,11287.649999999996,0.43889957527917095
"2025-02-08",2025,1,2,February,8,7,Saturday,1541,26532.290000000037,14988.720000000001,11543.57,0.43507627875317145
"2025-02-09",2025,1,2,February,9,1,Sunday,1737,31937.36000000006,17866.31999999998,14071.040000000006,0.4405824401265471
"2025-02-10",2025,1,2,February,10,2,Monday,1613,28464.85000000003,15973.13000000001,12491.720000000005,0.4388472098043725
