"Store_ID","Store_Name","Store_City","Store_Location","Total_SKUs","Replenishment_Risk_SKUs","Overstock_Risk_SKUs"
85,Cedar Toy Corner Montgomery 1,"Montgomery, AL",Downtown,101,20,0
60,Wonderland Toys Scottsdale 1,"Scottsdale, AZ",Downtown,104,13,0
24,Playtime Emporium Los Angeles 1,"Los Angeles, CA",Downtown,134,12,2
51,Bright Star Toy Shop Birmingham 1,"Birmingham, AL",Downtown,129,11,1
17,Mini Makers Asheville 1,"Asheville, NC",Downtown,110,11,0
115,Mountain Trail Toys Pittsburgh 1,"Pittsburgh, PA",Downtown,132,9,2
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,135,8,0
31,Dinosaur Dreams Toys Glendale 1,"Glendale, AZ",Downtown,103,8,0
34,Sunshine Toy Store Arlington 1,"Arlington, TX",Downtown,129,8,0
99,City Lights Toys Stockton 1,"Stockton, CA",Downtown,108,7,4
36,Board Game Barn Minneapolis 1,"Minneapolis, MN",Downtown,126,7,0
12,Tiny Treasures Toys San Diego 1,"San Diego, CA",Downtown,110,6,1
45,Kids Quest Toys Plano 1,"Plano, TX",Downtown,115,5,1
65,Toy Galaxy Spokane 1,"Spokane, WA",Downtown,107,5,0
83,Kids Quest Toys Winston-Salem 1,"Winston-Salem, NC",Downtown,130,5,0
98,Wonderland Toys Chesapeake 1,"Chesapeake, VA",Downtown,117,4,2
41,Classic Toy Chest Modesto 1,"Modesto, CA",Downtown,105,3,2
53,Sunshine Toy Store Laredo 1,"Laredo, TX",Downtown,103,3,2
110,Giggles & Gadgets Lubbock 1,"Lubbock, TX",Downtown,124,2,17
116,Toy Haven New Orleans 1,"New Orleans, LA",Downtown,108,2,5
96,Neighborhood Toy Co. San Bernardino 1,"San Bernardino, CA",Downtown,131,2,2
106,Board Game Barn St. Petersburg 1,"St. Petersburg, FL",Downtown,133,1,20
92,Storybook Toys Phoenix 1,"Phoenix, AZ",Downtown,131,1,4
101,Storybook Toys Fort Collins 1,"Fort Collins, CO",Downtown,134,0,30
38,Wonderland Toys Oakland 1,"Oakland, CA",Downtown,129,0,22
113,Space Ranger Toys Oceanside 1,"Oceanside, CA",Downtown,121,0,20
26,Board Game Barn Charleston 1,"Charleston, SC",Mall,131,0,17
5,Tiny Treasures Toys Riverside 1,"Riverside, CA",Residential,114,0,16
90,City Lights Toys Columbia 1,"Columbia, SC",Residential,128,0,15
58,Little Sprouts Toys Savannah 1,"Savannah, GA",Commercial,133,0,14
25,City Lights Toys Raleigh 1,"Raleigh, NC",Downtown,130,0,13
7,Puzzle Planet Las Vegas 1,"Las Vegas, NV",Downtown,122,0,12
48,Spark & Play Austin 1,"Austin, TX",Suburban,135,0,11
64,Board Game Barn Yonkers 1,"Yonkers, NY",Airport,127,0,11
66,Wonderland Toys Knoxville 1,"Knoxville, TN",Residential,121,0,10
6,Rainbow Toy Market Sacramento 1,"Sacramento, CA",Residential,117,0,9
37,Toy Haven Port St. Lucie 1,"Port St. Lucie, FL",Downtown,129,0,9
50,Mountain Trail Toys Kansas City 1,"Kansas City, MO",Mall,113,0,9
54,Sunshine Toy Store Tulsa 1,"Tulsa, OK",Mall,130,0,9
59,Bright Star Toy Shop Little Rock 1,"Little Rock, AR",Mall,123,0,9
18,Ocean Wave Toys Wichita 1,"Wichita, KS",Downtown,121,0,8
42,Space Ranger Toys Philadelphia 1,"Philadelphia, PA",Suburban,100,0,8
67,Wonderland Toys Huntington Beach 1,"Huntington Beach, CA",Mall,121,0,7
84,Puzzle Planet Ann Arbor 1,"Ann Arbor, MI",Downtown,114,0,7
91,Kids Quest Toys Fremont 1,"Fremont, CA",Suburban,108,0,7
119,Adventure Toys Virginia Beach 1,"Virginia Beach, VA",Downtown,114,0,7
21,Kids Quest Toys Santa Ana 1,"Santa Ana, CA",Suburban,124,0,6
46,Maple Street Toys San Francisco 1,"San Francisco, CA",Commercial,134,0,6
70,Wonderland Toys Chandler 1,"Chandler, AZ",Suburban,119,0,6
77,Happy Hippo Toys Buffalo 1,"Buffalo, NY",Suburban,122,0,6
93,Space Ranger Toys Tempe 1,"Tempe, AZ",Residential,112,0,6
97,Storybook Toys Memphis 1,"Memphis, TN",Suburban,107,0,6
94,Rocketship Toys Cleveland 1,"Cleveland, OH",Residential,124,0,5
10,Board Game Barn Fayetteville 1,"Fayetteville, NC",Mall,130,0,4
14,Puzzle Planet Honolulu 1,"Honolulu, HI",Mall,134,0,4
28,Little Sprouts Toys Peoria 1,"Peoria, AZ",Downtown,127,0,4
33,Maple Street Toys Dayton 1,"Dayton, OH",Commercial,123,0,4
68,Wonderland Toys Boulder 1,"Boulder, CO",Residential,123,0,4
76,Giggles & Gadgets Mesa 1,"Mesa, AZ",Residential,127,0,4
100,Happy Hippo Toys Atlanta 1,"Atlanta, GA",Mall,127,0,4
11,Spark & Play Dallas 1,"Dallas, TX",Commercial,114,0,3
40,Puzzle Planet Fresno 1,"Fresno, CA",Downtown,102,0,3
62,Mountain Trail Toys Baton Rouge 1,"Baton Rouge, LA",Commercial,121,0,3
