"Date","Year","Quarter","Month_Number","Month_Name","Product_ID","Product_Name","Product_Category","Product_Cost","Product_Price","Units_Sold","Revenue","COGS","Gross_Profit","Gross_Margin"
"2025-01-01",2025,1,1,January,1,Classic Board Game,Building Blocks,11.86,23.39,3,70.17,35.58,34.59,0.49294570329200516
"2025-01-01",2025,1,1,January,2,Pro Puzzle Pack,Arts & Crafts,8.36,15.54,6,93.24,50.16,43.08,0.462033462033462
"2025-01-01",2025,1,1,January,3,Retro Princess Doll,Building Blocks,7.93,11.1,7,77.7,55.51,22.189999999999998,0.28558558558558556
"2025-01-01",2025,1,1,January,4,Deluxe Builder Set,Baby & Toddler,7.93,16.54,3,49.62,23.79,25.83,0.5205562273276905
"2025-01-01",2025,1,1,January,5,Smart Art Kit,Plush,21.51,29.41,4,117.64,86.04,31.599999999999994,0.268616116967018
"2025-01-01",2025,1,1,January,6,Retro Science Lab,Action Figures,13.76,29.92,18,538.5600000000001,247.68,290.88000000000005,0.5401069518716578
"2025-01-01",2025,1,1,January,7,Pro Explorer Kit #7,Baby & Toddler,6.97,10.49,11,115.39,76.67,38.720000000000006,0.3355576739752145
"2025-01-01",2025,1,1,January,8,Classic Racing Car,Toy Vehicles,12.16,18.31,5,91.55,60.8,30.749999999999993,0.33588203167667935
"2025-01-01",2025,1,1,January,9,Rainbow Board Game,Baby & Toddler,10.31,17.7,17,300.9,175.27,125.62999999999997,0.41751412429378526
"2025-01-01",2025,1,1,January,10,Smart Space Ship,Board Games,3.15,5.03,20,100.60000000000001,63.0,37.6,0.37375745526838966
"2025-01-01",2025,1,1,January,11,Mini Farm Set,Building Blocks,5.17,8.26,13,107.38,67.21,40.17,0.37409200968523004
"2025-01-01",2025,1,1,January,12,Galaxy Castle,Building Blocks,10.73,17.83,3,53.489999999999995,32.19,21.299999999999994,0.3982052720134604
"2025-01-01",2025,1,1,January,13,Deluxe Explorer Kit,Toy Vehicles,20.21,30.71,8,245.68,161.68,84.0,0.34190817323347444
"2025-01-01",2025,1,1,January,14,Rocket Princess Doll #14,Building Blocks,7.97,14.24,5,71.2,39.85,31.35,0.44030898876404495
"2025-01-01",2025,1,1,January,15,Galaxy Sticker Book,Outdoor Play,6.69,12.49,23,287.27,153.87,133.39999999999998,0.46437149719775817
"2025-01-01",2025,1,1,January,16,Mini Robot,STEM Kits,9.59,14.34,18,258.11999999999995,172.62,85.5,0.33124128312412837
"2025-01-01",2025,1,1,January,17,Magic Princess Doll,Arts & Crafts,6.49,12.54,6,75.24,38.94,36.3,0.4824561403508772
"2025-01-01",2025,1,1,January,18,Mega Farm Set,Arts & Crafts,7.69,13.26,20,265.20000000000005,153.79999999999998,111.39999999999998,0.42006033182503755
"2025-01-01",2025,1,1,January,19,Ocean Castle,Toy Vehicles,8.96,12.36,3,37.08,26.880000000000003,10.199999999999996,0.2750809061488672
"2025-01-01",2025,1,1,January,20,Galaxy Castle,Puzzles,5.04,10.7,5,53.5,25.2,28.299999999999997,0.5289719626168223
"2025-01-01",2025,1,1,January,21,Adventure Princess Doll #21,STEM Kits,14.19,22.92,6,137.52,85.14,52.38000000000001,0.38089005235602097
"2025-01-01",2025,1,1,January,22,Retro Art Kit,Puzzles,4.61,8.26,13,107.38,59.93000000000001,47.449999999999996,0.44188861985472155
"2025-01-01",2025,1,1,January,23,Ocean Farm Set,Puzzles,4.35,9.46,5,47.300000000000004,21.75,25.550000000000004,0.540169133192389
"2025-01-01",2025,1,1,January,24,Retro Art Kit,Toy Vehicles,10.06,20.21,5,101.05000000000001,50.3,50.75,0.5022266204849084
"2025-01-01",2025,1,1,January,25,Deluxe Art Kit,Educational,13.55,19.31,5,96.54999999999998,67.75,28.79999999999999,0.2982910409114448
"2025-01-01",2025,1,1,January,26,Rainbow Farm Set,Dolls,9.92,15.04,4,60.16,39.68,20.479999999999997,0.3404255319148936
"2025-01-01",2025,1,1,January,27,Mini Science Lab,Toy Vehicles,8.47,14.23,5,71.15,42.35,28.799999999999997,0.40477863668306385
"2025-01-01",2025,1,1,January,28,Smart Drone Toy #28,Educational,7.65,12.09,8,96.72,61.2,35.519999999999996,0.3672456575682382
"2025-01-01",2025,1,1,January,29,Ocean Puzzle Pack,Pretend Play,7.01,11.14,2,22.28,14.02,8.260000000000002,0.3707360861759426
"2025-01-01",2025,1,1,January,30,Eco Art Kit,Toy Vehicles,16.14,29.23,3,87.69,48.42,39.269999999999996,0.4478275744098529
"2025-01-01",2025,1,1,January,31,Neo Music Toy,Toy Vehicles,10.79,15.25,5,76.25,53.949999999999996,22.300000000000004,0.2924590163934427
"2025-01-01",2025,1,1,January,32,Galaxy Art Kit,Pretend Play,7.3,15.98,5,79.9,36.5,43.4,0.5431789737171464
"2025-01-01",2025,1,1,January,33,City Drone Toy,Board Games,6.22,8.43,11,92.73000000000002,68.42,24.310000000000002,0.26215895610913403
"2025-01-01",2025,1,1,January,34,Deluxe Plush Bear,Plush,12.63,25.8,7,180.60000000000002,88.41,92.19,0.5104651162790697
"2025-01-01",2025,1,1,January,35,Glow Music Toy #35,Board Games,15.91,31.91,5,159.55,79.55,80.0,0.5014102162331557
"2025-01-01",2025,1,1,January,36,Rocket Farm Set,Plush,15.06,21.28,9,191.52,135.54,55.980000000000004,0.29229323308270677
"2025-01-01",2025,1,1,January,37,City Board Game,Card Games,5.69,11.86,17,201.61999999999998,96.73,104.88999999999999,0.5202360876897133
"2025-01-01",2025,1,1,January,38,Mega Card Deck,Action Figures,7.61,14.31,4,57.24,30.44,26.8,0.46820405310971347
"2025-01-01",2025,1,1,January,39,Rainbow Plush Bear,Toy Vehicles,6.93,11.19,17,190.23,117.80999999999997,72.41999999999999,0.3806970509383378
"2025-01-01",2025,1,1,January,40,Dino Racing Car,Outdoor Play,8.15,13.26,10,132.6,81.5,51.099999999999994,0.3853695324283559
"2025-01-01",2025,1,1,January,41,Classic Board Game,Card Games,14.11,29.69,11,326.59000000000003,155.20999999999998,171.38000000000002,0.5247558100370495
"2025-01-01",2025,1,1,January,42,City Plush Bear #42,Puzzles,19.03,33.33,6,199.97999999999996,114.18,85.79999999999998,0.429042904290429
"2025-01-01",2025,1,1,January,43,City Action Hero,Outdoor Play,11.01,21.98,7,153.86,77.07,76.79,0.49909008189262966
"2025-01-01",2025,1,1,January,44,Eco Castle,STEM Kits,6.33,11.57,5,57.85,31.65,26.200000000000003,0.45289541918755405
