"Date","Year","Quarter","Month_Number","Month_Name","Store_ID","Store_Name","Store_City","Store_Location","Units_Sold","Revenue","COGS","Gross_Profit","Gross_Margin"
"2025-01-01",2025,1,1,January,1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,13,183.67000000000002,106.36,77.31,0.42091795067240156
"2025-01-01",2025,1,1,January,2,Puzzle Planet San Antonio 1,"San Antonio, TX",Commercial,6,89.19,46.0,43.190000000000005,0.48424711290503425
"2025-01-01",2025,1,1,January,3,Wonderland Toys Orlando 1,"Orlando, FL",Mall,4,84.54,50.9,33.64,0.39791814525668323
"2025-01-01",2025,1,1,January,4,Spark & Play St. Paul 1,"St. Paul, MN",Downtown,22,427.03999999999996,228.45000000000002,198.58999999999997,0.46503840389659046
"2025-01-01",2025,1,1,January,5,Tiny Treasures Toys Riverside 1,"Riverside, CA",Residential,1,19.53,9.32,10.21,0.5227854582693292
"2025-01-01",2025,1,1,January,6,Rainbow Toy Market Sacramento 1,"Sacramento, CA",Residential,7,145.99,80.03999999999999,65.95,0.4517432700869923
"2025-01-01",2025,1,1,January,7,Puzzle Planet Las Vegas 1,"Las Vegas, NV",Downtown,2,43.14,28.1,15.04,0.3486323597589244
"2025-01-01",2025,1,1,January,8,Neighborhood Toy Co. Santa Rosa 1,"Santa Rosa, CA",Suburban,30,463.2,266.84999999999997,196.35,0.42389896373056996
"2025-01-01",2025,1,1,January,9,Space Ranger Toys Nashville 1,"Nashville, TN",Downtown,20,373.95000000000005,216.79999999999998,157.15000000000003,0.420243348041182
"2025-01-01",2025,1,1,January,10,Board Game Barn Fayetteville 1,"Fayetteville, NC",Mall,10,130.96,75.03,55.93000000000001,0.42707697006719614
"2025-01-01",2025,1,1,January,11,Spark & Play Dallas 1,"Dallas, TX",Commercial,11,199.96,125.32000000000001,74.63999999999999,0.3732746549309861
"2025-01-01",2025,1,1,January,12,Tiny Treasures Toys San Diego 1,"San Diego, CA",Downtown,12,142.98999999999998,89.95,53.03999999999999,0.3709350304217078
"2025-01-01",2025,1,1,January,13,Space Ranger Toys Detroit 1,"Detroit, MI",Mall,3,37.08,26.880000000000003,10.199999999999996,0.2750809061488672
"2025-01-01",2025,1,1,January,14,Puzzle Planet Honolulu 1,"Honolulu, HI",Mall,13,154.53,80.97,73.56,0.47602407299553484
"2025-01-01",2025,1,1,January,15,Bluebird Toys Lexington 1,"Lexington, KY",Downtown,19,441.74,245.57000000000002,196.17,0.4440847557386698
"2025-01-01",2025,1,1,January,16,Rocketship Toys Chattanooga 1,"Chattanooga, TN",Mall,21,445.06,230.88,214.17999999999998,0.48123848469869224
"2025-01-01",2025,1,1,January,17,Mini Makers Asheville 1,"Asheville, NC",Downtown,7,237.39,122.57,114.82,0.483676650238005
"2025-01-01",2025,1,1,January,18,Ocean Wave Toys Wichita 1,"Wichita, KS",Downtown,14,180.04,108.96000000000001,71.08000000000001,0.3948011552988226
"2025-01-01",2025,1,1,January,19,Bluebird Toys Gainesville 1,"Gainesville, FL",Residential,15,232.14999999999998,127.59,104.56,0.45039844927848377
"2025-01-01",2025,1,1,January,20,Mini Makers Oxnard 1,"Oxnard, CA",Commercial,21,351.03,189.74999999999997,161.27999999999997,0.4594479104350055
"2025-01-01",2025,1,1,January,21,Kids Quest Toys Santa Ana 1,"Santa Ana, CA",Suburban,4,103.85000000000001,68.55000000000001,35.3,0.3399133365430909
"2025-01-01",2025,1,1,January,22,City Lights Toys Aurora 1,"Aurora, IL",Mall,11,198.93,125.7,73.23,0.36811943899864275
